選手姓名 - 隊名	組	勝	敗	場	勝率	入選賽次	決選數	勝局	敗局	總局	局勝率
葉伊恬 - 合作金庫	女	6	0	6	1.000	第一次賽	1	18	3	21	0.857
蘇昱綸 - 合作金庫	男	6	0	6	1.000	第一次賽	1	18	4	22	0.818
吳映萱 - 國泰人壽	女	6	0	6	1.000	第一次賽	1	18	5	23	0.783
洪敬愷 - 第一銀行	男	6	0	6	1.000	第一次賽	1	18	7	25	0.720
黎彥君 - 第一銀行	男	9	1	10	0.900	第二次賽	1	28	10	38	0.737
李昱諄 - 國泰人壽	女	7	1	8	0.875	第二次賽	1	23	7	30	0.767
張佑安 - 第一銀行	男	6	1	7	0.857	第二次賽	1	20	8	28	0.714
彭郁涵 - 國泰人壽	女	6	1	7	0.857	第二次賽	1	19	9	28	0.679
馮翊新 - 合作金庫	男	17	3	20	0.850	第四次賽	3	54	18	72	0.750
林彥均 - 第一銀行	男	11	2	13	0.846	第三次賽	1	37	13	50	0.740
黃禹喬 - 國泰人壽	女	10	2	12	0.833	第三次賽	2	33	13	46	0.717
黃彥誠 - 合作金庫	男	9	2	11	0.818	第三次賽	1	30	14	44	0.682
陳忞昕 - 合作金庫	女	8	2	10	0.800	第三次賽	1	26	10	36	0.722
高凡媞 - 國泰人壽	女	12	3	15	0.800	第四次賽	2	38	25	63	0.603
黃 歆 - 國泰人壽	女	11	3	14	0.786	第四次賽	1	38	16	54	0.704
葉致緯 - 第一銀行	男	14	4	18	0.778	-	0	46	16	62	0.742
廖振珽 - 第一銀行	男	13	4	17	0.765	-	1	44	16	60	0.733
曾子彧 - 合作金庫	男	13	4	17	0.765	-	0	44	20	64	0.688
陳建安 - 合作金庫	男	9	3	12	0.750	-	0	31	11	42	0.738
黎昕陽 - 第一銀行	男	9	3	12	0.750	第四次賽	1	32	12	44	0.727
彭王維 - 乒乓彭	男	12	4	16	0.750	-	1	40	22	62	0.645
蘇珮綾 - 合作金庫	女	12	4	16	0.750	-	0	39	22	61	0.639
蔡昀恩 - 合作金庫	女	11	4	15	0.733	-	0	38	16	54	0.704
陳琦媗 - 合作金庫	女	11	4	15	0.733	-	0	40	18	58	0.690
鄭樸璿 - 合作金庫	女	11	4	15	0.733	-	1	36	17	53	0.679
楊子儀 - 合作金庫	男	11	4	15	0.733	-	0	37	19	56	0.661
簡彤娟 - 國泰人壽	女	11	4	15	0.733	-	0	39	21	60	0.650
劉馨尹 - 國泰人壽	女	11	4	15	0.733	-	1	38	23	61	0.623
孫嘉宏 - 合作金庫	男	11	4	15	0.733	-	1	35	24	59	0.593
鄭先知 - 國泰人壽	女	13	5	18	0.722	-	2	46	24	70	0.657
王意如 - 合作金庫	女	10	4	14	0.714	-	1	35	21	56	0.625
王媺淇 - 國泰人壽	女	10	4	14	0.714	-	0	32	20	52	0.615
吳宜琪 - 北市大	女	10	4	14	0.714	-	0	32	21	53	0.604
楊嘉安 - 第一銀行	男	10	4	14	0.714	-	0	34	24	58	0.586
李佳陞 - 第一銀行	男	10	4	14	0.714	-	0	34	25	59	0.576
陳凱程 - 合作金庫	男	12	5	17	0.706	-	1	39	29	68	0.574
陳映蓁 - 國泰人壽	女	9	4	13	0.692	-	0	32	18	50	0.640
張秉丞 - 第一銀行	男	9	4	13	0.692	-	1	31	19	50	0.620
蘇晨翔 - 合作金庫	男	9	4	13	0.692	-	0	30	21	51	0.588
曾暐勛 - 臺南桌委	男	9	4	13	0.692	-	0	27	19	46	0.587
陳慈瑄 - 高雄中學	女	9	4	13	0.692	-	0	29	22	51	0.569
楊振岳 - 合作金庫	男	9	4	13	0.692	-	0	29	23	52	0.558
